depth,mag,nst,gap,dmin,rms,horizontalError,depthError,lon_sin,lon_cos,lat_sin,lat_cos
44.6,5.9,415.0,30.1,,0.81,,,0.9905502002559841,-0.13715064991763587,0.03456808424121196,0.9994023451803045
46.1,5.136,66.0,83.4,,0.9,,,0.7987510355183083,-0.6016616850510178,0.046077824802426205,0.9989378529525633
,5.2519,20.0,172.3,,0.6,,,0.556933601663847,-0.8305570199196052,0.18247577454689676,0.9832103496726985
35.0,5.1,15.0,87.4,,1.31,,,-0.9966288007728177,0.08204287580366272,0.032213204165887244,0.9994810200685988
148.7,5.136,232.0,33.7,,0.69,,2.8,-0.8768945990445054,0.48068270425154275,0.2594090472857994,0.9657675425205974
54.5,5.367800000000001,130.0,52.2,,0.92,,7.4,0.30532969099523755,-0.952246701121486,-0.19068906556816376,0.9816504878380801
146.6,5.2519,239.0,39.6,,0.71,,,-0.8778241869249148,0.47898298179539966,0.26036970069377774,0.9655089947590507
137.7,5.2519,44.0,100.0,,0.88,,10.1,0.21678039234089355,-0.9762203959642147,-0.2626270622249373,0.9648974174424445
114.8,5.2519,56.0,40.9,,0.74,,,0.9966730443630513,-0.0815036357476607,0.39698770618724966,0.9178239270885162
156.0,7.4,585.5400000000009,13.4,,0.74,,,-0.8769281548909255,0.4806214842884127,0.25787484081455037,0.9661783305761262
109.6,5.2,75.0,49.9,,1.27,,,0.21795587480952103,-0.9759586244488115,-0.7071067811865476,0.7071067811865476
26.9,5.136,138.0,81.8,,0.89,,11.2,0.4647647787850023,-0.8854341875040335,0.7207447179018682,0.6932005854127334
113.0,5.2519,29.0,74.9,,1.36,,10.3,0.9496116373409274,0.3134290002962122,0.5937278998824412,0.8046658815316987
127.1,5.136,67.0,55.7,,0.88,,9.2,0.7899303171394835,-0.6131966194165742,0.07718886963132715,0.9970164885321797
,6.3,192.0,43.2,,1.38,,,-0.9916621683375658,-0.12886482797116208,-0.5984085043928776,0.8011911518921557
,5.2,175.0,39.7,,1.09,,,0.5484391806372733,0.8361904478896637,-0.36107125436285414,0.9325382293894632
10.7,5.1,36.0,71.6,,0.86,,24.2,0.5313542235895918,-0.8471497441854668,-0.8408690193210737,0.541238664866079
175.7,5.136,63.0,62.2,,1.04,,11.0,-0.07377778544199433,-0.99727470557278,-0.3411343521244075,0.9400145497813641
35.0,5.4,195.0,33.3,,0.96,,,0.981168134129611,-0.19315561749174592,-0.04996541625225077,0.9987509485245756
69.6,5.0,,,,0.73,,0.0,-0.4828651915508747,-0.8756946995320556,0.8822156339938518,0.47084559585582414
,5.2,43.0,126.8,,0.68,,,0.9494419169469935,-0.31394274373525205,0.1734762936450977,0.9848380453369782
49.1,5.0,38.0,75.5,,1.22,,11.5,-0.035719289909575444,-0.9993618625544781,-0.5251746299612957,0.8509944817946918
50.8,5.367800000000001,121.0,42.5,,0.82,,,0.9831625439330924,-0.18273317215823223,-0.039451653237660325,0.9992214804820878
,5.2,62.0,114.6,,1.3,,,0.11361939023011991,-0.9935243500608003,-0.37480077413085267,0.9271053768104862
35.0,5.4837,123.0,61.1,,0.82,,,0.9834546915588366,-0.18115427030824743,-0.028445029504526608,0.9995953582807828
158.1,5.2519,99.0,61.3,,0.71,,7.3,0.78186879061071,-0.6234430160559549,-0.12727234769925816,0.9918678084861506
16.0,6.6,280.0,26.9,,1.08,,,0.3065426911817159,-0.9518569107187651,-0.1899522915116846,0.9817933219112157
,5.4,297.0,67.0,,0.8,,,-0.2298798819297008,0.9732190092080953,-0.023664455392318005,0.9997199575636094
561.9,5.3,293.0,30.4,,0.87,,5.8,-0.040288745125368224,-0.9991880789001754,-0.33260557819232595,0.943066025978748
35.0,5.9,340.0,26.1,,0.82,,,0.8674356569293343,-0.4975493755272679,0.27661029095438416,0.9609821782624957
53.0,5.8,471.0,29.9,,,,,-0.9792121913615176,-0.20283856706498055,0.31985241818799803,0.947467377052788
85.5,5.136,21.0,137.8,,1.02,,14.4,0.46459477906003394,-0.8855233996175134,0.7249537438175752,0.6887975532221944
87.2,5.7,344.0,31.8,,,,,-0.9982779181624951,-0.058661726101050436,0.26353633984061253,0.9646494687623133
35.0,5.136,58.0,119.3,,1.03,,,0.9923254647670362,-0.12365343494980499,0.019040391478689307,0.9998187153141005
42.4,5.9,420.0,43.8,,0.72,,4.1,0.6213392541697798,-0.7835416588974333,0.6072649125970602,0.7944994184569835
35.0,5.0,80.0,57.6,,0.79,,,0.983375554481626,-0.18158336611032064,-0.03934701479278729,0.9992256063707016
35.0,5.3,112.0,38.2,,1.06,,,0.8771964477830597,-0.48013164027876953,-0.14287077740249632,0.9897413505378091
36.8,5.0,103.0,47.1,,0.83,,,0.9926013519999826,-0.12141892771642653,0.004677465339047425,0.9999890605991658
34.7,5.0,138.0,108.9,,,,,-0.941523483996264,0.3369473684175867,-0.3832154852734218,0.9236589694506603
32.8,5.4,94.0,32.2,,1.08,,,0.8779244856324631,-0.47879912022368554,-0.1434235309409649,0.9896614020827659
35.0,5.136,43.0,75.5,,1.17,,,-0.033120290974378096,-0.999451372666911,-0.5308514212861833,0.8474649069539334
,5.2,23.0,70.1,,1.02,,,-0.9660476846364716,-0.2583638345599328,-0.5800065026186355,0.8146118443283885
35.0,5.2,158.0,52.9,,1.05,,,-0.12798208077213438,-0.9917764803630075,-0.2836471634273482,0.9589287182474092
35.0,5.367800000000001,58.0,191.03000000000029,,1.34,,,0.3531646193618623,-0.9355611960908762,0.8135171112942428,0.5815409784628
35.0,5.2519,138.0,64.5,,1.4,,,-0.12413836187016693,-0.992264917807836,-0.28121947050093044,0.9596434803671499
18.0,6.5,272.0,27.6,,1.21,,,0.8790917905993925,-0.4766525188234653,-0.14304351767867313,0.9897163998086074
35.0,6.0,331.0,28.5,,0.93,,,0.983530487001621,-0.1807423058897781,-0.039050536859567324,0.9992372368817025
20.0,6.5,353.0,27.5,,1.15,,,0.8798974885284288,-0.47516356097807366,-0.14421803572985173,0.9895459353512717
35.0,5.1,205.0,56.6,,0.71,,,0.9368188015948556,0.3498149982181702,0.49473079161569683,0.8690462840535629
55.9,5.9,406.0,52.5,,0.76,,9.3,0.981083760694655,-0.19358371445251535,-0.04898922896447029,0.998799306890762
,5.6,215.0,52.8,,1.05,,,-0.12843212147024585,-0.9917183018249951,-0.2775829426401001,0.9607016758366058
34.2,5.0,174.0,79.8,,1.1,,,-0.9969623575728563,0.07788489958118988,0.18039897797946103,0.9835935180469451
,5.1,26.0,68.3,,0.99,,,0.9944908373732593,-0.10482353924874684,-0.7169349428666606,0.6971400775287404
55.3,5.3,74.0,36.6,,1.03,,12.6,0.4677138556129898,-0.8838799405279154,-0.06874661309947416,0.9976341529776089
,5.3,58.0,49.2,,1.15,,,0.37556115688677005,-0.9267976140656982,-0.8354622351988777,0.5495478628440793
35.0,5.2,80.0,45.9,,1.14,,,0.7879032884069562,-0.6157989997698151,-0.03528323265017656,0.9993773529021726
92.1,5.6,332.0,40.6,,,,,-0.9336554624287814,0.35817241305954656,-0.4030661692953562,0.9151708382425476
,5.5,39.0,63.0,,1.27,,,0.16377363765584674,0.9864979450606937,-0.8014626185571587,0.5980448737808077
,5.136,39.0,78.3,,1.0,,,0.8339628788796589,-0.5518205475068424,-0.07400405799406819,0.997257940254381
35.0,5.4837,146.0,87.7,,1.01,,,-0.09011112394613541,-0.9959317172081449,-0.3077219811541008,0.951476317264174
35.0,5.6,155.0,75.9,,1.1,,,-0.09118877280863698,-0.9958336245144842,-0.30652607809792776,0.9518622607530478
35.0,5.5,151.0,41.3,,1.11,,,-0.09266602084158537,-0.9956972474509442,-0.3077551937556012,0.9514655751609999
150.3,5.9,300.0,17.4,,0.78,,,0.47148908881994434,-0.8818718949619262,-0.08072082551181835,0.9967367497632916
49.3,5.8,484.0,35.2,,0.76,,,0.9961028826032333,-0.08819890741686735,0.08268645344988644,0.9965756119913229
40.1,5.1,67.0,83.5,,1.01,,,0.19509032201612816,-0.9807852804032304,-0.32822375399796005,0.9446000038701496
,5.0,28.0,74.8,,1.16,,,0.9196707828804014,0.3926902737733004,-0.2600663642535466,0.9655907446656382
46.7,5.599600000000001,384.0,78.4,,0.82,,,-0.003560464151414734,-0.9999936615274251,0.7790316554937078,0.6269845929037914
53.0,6.8,341.0,15.9,,1.18,,,0.5432037578819463,-0.8396009036577627,-0.10030961920023784,0.9949562705445417
14.8,5.4837,378.0,34.8,,,,,0.8160367224686536,0.5780000584624692,0.451967703219765,0.8920343016085482
50.2,5.2,72.0,80.1,,1.04,,9.2,0.8052664945346502,-0.5929130398126494,0.02668291697288435,0.9996439475842477
,5.4,20.0,138.4,,1.5,,0.0,-0.3694224063029396,-0.9292615808917023,-0.8881123840508862,0.45962636270720075
76.6,5.136,46.0,73.8,,0.78,,,0.7895127444763758,-0.6137341658319022,0.04307884390076028,0.9990716757110942
115.4,5.8,320.0,31.1,,0.96,,,-0.9302383506006371,0.3669558707417093,-0.4196105131155107,0.9077042565081084
,5.3,55.0,37.4,,1.25,,,0.8094783902639441,-0.5871496706085202,-0.7608138757185697,0.648970143006663
43.4,5.3,79.0,69.1,,1.22,,7.6,-0.014119244487434505,-0.9999003184993512,-0.5459557431994568,0.8378140166334822
46.6,5.136,30.0,93.6,,1.12,,10.0,-0.9431936678291195,0.33224344232362607,-0.38785344090804547,0.9217210577912329
606.3270000000003,5.1,77.0,38.0,,0.96,,8.9,-0.013578244311978268,-0.9999078113913323,-0.3601433516767234,0.9328969751494834
,5.0,60.0,37.9,,0.72,,,-0.7050180215229731,0.7091893888996313,0.23105174039862594,0.9729414644565036
35.0,5.7,275.0,31.7,,0.89,,,-0.11797069411214707,-0.9930170770589488,-0.30609410516025065,0.9520012598658394
35.0,5.599600000000001,188.0,50.6,,0.84,,,0.9807409905680751,-0.19531285011373622,-0.0754834379517574,0.9971470556517645
23.4,5.136,49.0,93.1,,1.16,,15.3,-0.9435005975791949,0.3313708230482916,-0.39408628217176683,0.9190734476656556
15.0,6.1,360.0,49.2,,1.3,,,-0.9425424071122674,0.33408653189707116,-0.3893972542199662,0.9210699096192162
15.9,5.4,141.0,93.6,,0.92,,7.1,-0.9420106057295163,0.33558310251428,-0.3930915184591163,0.919499351884223
6.8,5.367800000000001,27.0,90.4,,1.5,,33.46999999999971,-0.04267778736590729,-0.9990888881703922,-0.4986390341860974,0.8668097332090566
32.0,5.9,384.0,23.7,,0.84,,,-0.03591115295423792,-0.9993549865255575,-0.4998034922004746,0.8661388278932022
52.6,6.0,330.0,19.2,,1.04,,,0.4119597051121813,-0.9112020639594077,-0.12025812612777903,0.992742657036674
70.0,5.0,242.0,40.3,,0.68,,5.7,0.6337994677458741,-0.7734974044462247,0.5397261700283189,0.841840638949298
31.0,5.136,95.0,93.5,,,,,-0.9436912969686282,0.3308273507823504,-0.3877086525185,0.9217819702957359
35.0,5.2519,138.0,53.4,,1.0,,,-0.9400859761756506,0.3409374684570093,-0.392096294456248,0.9199241794157165
29.9,5.9,332.0,46.0,,,,,-0.9441982980396992,0.32937755536608027,-0.38737077574668427,0.9219240110211969
,5.0,62.0,190.4,,1.08,,,-0.7936295057712291,-0.6084013540166676,0.6900870496934682,0.7237263736007999
,5.8,199.0,105.4,,0.99,,,-0.7942661869068236,-0.6075699337002242,0.6888861178896705,0.7248695859110789
13.1,5.3,73.0,93.5,,1.03,,15.8,-0.9432342519837515,0.33212820699942464,-0.3891882600652763,0.9211582373443571
31.1,5.136,67.0,93.6,,1.04,,,-0.942961488317925,0.33290183470393153,-0.3888345320121977,0.9213076069993427
76.4,5.2519,122.0,58.0,,0.95,,8.6,0.6220774487195173,-0.7829557125371883,0.463002133415926,0.8863571652851355
,6.0,172.0,33.1,,1.39,,,0.11344598578940547,-0.9935441652529947,-0.3740886978645749,0.9273929297390545
44.0,5.136,140.0,134.6,,0.75,,,0.5349423232047162,-0.8448885789524799,0.684890548281314,0.7286459612698893
558.3,6.3,585.5400000000009,13.1,,0.98,,,-0.02177998674305965,-0.9997627879539587,-0.3613804758918131,0.9324184423552586
107.4,5.0,100.0,59.6,,1.01,,15.7,0.9826322341182993,-0.18556371539630256,-0.015375744806594654,0.9998817862485757
19.7,5.367800000000001,82.0,93.5,,1.03,,13.2,-0.9435179468215784,0.33132142101831147,-0.3871454956526999,0.922018636034991
,5.4,35.0,42.8,,1.06,,,-0.7695779026700389,-0.638552935724192,-0.8198621817820461,0.5725609163081106
,5.7,242.0,49.6,,0.94,,,-0.942932433561923,0.33298412234968433,-0.3924013313020431,0.9197941047823607
97.2,5.3,304.0,62.0,,1.02,,,-0.9371602577937551,0.34889919921367335,-0.31937282090479924,0.9476291475399599
246.4,6.0,476.0,41.0,,0.99,,,-0.9158238717379416,0.4015801737572789,-0.38498807586297545,0.922921546743451
173.5,5.1,99.0,52.5,,1.05,,,-0.06014263610903797,-0.9981897932366649,-0.37221034949574505,0.928148401780801
29.5,5.2519,111.0,71.0,,,,,-0.9443706302878591,0.32888312916553164,-0.3930754701080855,0.9195062124854337
7.2,5.2,189.0,93.2,,1.12,,14.8,-0.9433617105243468,0.3317660065717681,-0.39315571066576527,0.919471906678446
14.7,5.9,296.0,44.3,,1.17,,8.4,-0.9432110627621622,0.33219405636325366,-0.39167880574928415,0.9201020123479866
25.7,5.0,310.0,96.9,,0.82,,8.5,0.3505670117359605,-0.9365376502215589,0.7953042259557489,0.6062105147363638
80.2,5.4,152.0,60.8,,0.98,,7.2,0.8002187864187003,-0.5997081739167665,0.1033133478499972,0.9946488587215216
,5.2,53.0,99.6,,1.01,,,-0.22770511795536802,0.9737301367714424,-0.020820273474293563,0.9997832346126112
34.5,5.5,300.0,47.6,,,,,-0.9413940360911002,0.33730886263498694,-0.39145397072495125,0.920197690066471
27.1,5.2519,101.0,40.2,,0.7,,,0.9969282789717727,-0.0783198990447463,0.04579886693652077,0.9989506813588601
44.5,5.2,80.0,93.0,,,,,-0.9430602207726612,0.3326220377488833,-0.39689158971380895,0.9178654945112849
,5.1,7.0,131.0,,0.74,,,0.3223483047355625,-0.9466211335239189,-0.7869996334921099,0.6169534641148267
5.3,5.1,128.0,45.0,,,,,0.48872783334628495,0.8724363042151821,0.6021076979253457,0.798414879682888
14.8,5.5,232.0,93.5,,,,,-0.9432284551093382,0.3321446694921526,-0.3881590738545506,0.9215923900425705
35.0,5.2519,29.0,62.0,,0.9,,,-0.1073746909559101,-0.9942186257268181,-0.3690331257241904,0.9294162426589251
38.2,5.4,193.0,31.8,,0.83,,,0.47441088900123535,-0.880303531968978,-0.0956720216510583,0.9954129114458982
122.9,6.8,585.5400000000009,27.0,,0.88,,,-0.9775558352216509,0.2106765032558221,-0.04034106243558773,0.9991859680167491
29.3,5.2519,23.0,89.8,,1.14,,19.9,-0.8984647993588974,0.4390455606346296,-0.3302343467895022,0.9438989756327267
35.0,5.136,50.0,111.4,,1.09,,,-0.9435699790282907,0.33117320947889345,-0.38881845210180976,0.9213143933018482
59.0,5.3,71.0,94.5,,0.96,,9.4,0.8067025349980302,-0.5909577142467571,0.0924574804668639,0.995716633538739
37.1,5.8,259.0,36.5,,1.01,,,-0.0872252900450987,-0.9961886110453926,-0.3908114562037446,0.9204707522240501
29.4,5.8314,161.0,94.3,,1.18,,2.2,-0.9408512049116063,0.3388200262918036,-0.3873225033873703,0.9219442924438225
32.7,5.367800000000001,41.0,93.5,,0.9,,19.2,-0.942454911163325,0.3343332774704442,-0.3929791774875816,0.9195473702105748
26.0,6.8,285.0,40.1,,1.13,,,-0.9410993201597491,0.3381302553674519,-0.38952585604430956,0.9210155305275518
27.0,6.3,318.0,44.6,,1.05,,,-0.9420984288971124,0.3353364732169653,-0.3885933209223165,0.9214093720679021
31.4,5.0,57.0,91.4,,1.19,,25.0,0.6225146366376196,-0.7826081568524139,0.16263716519488358,0.986685944207868
71.1,5.136,62.0,50.9,,0.84,,16.2,-0.4483052120036038,0.8938805495648755,-0.8320799909219994,0.5546556487652907
19.4,5.3,85.0,93.0,,1.06,,16.6,-0.9438989756327267,0.33023434678950225,-0.39323594822939306,0.9194375938692795
35.0,5.136,32.0,111.7,,1.27,,,-0.9432632320458995,0.3320458930183051,-0.3957057956712232,0.9183773316410876
9.8,5.136,117.0,90.9,,1.01,,9.0,-0.9427928707797086,0.33337906773964626,-0.3942306450288933,0.9190115333988484
48.8,5.136,38.0,95.4,,1.12,,,-0.9387458873894684,0.34461015497132325,-0.379730658071947,0.9250970907533145
31.5,5.2519,70.0,94.3,,1.04,,,-0.9414234682577456,0.3372267092232723,-0.38542294963314283,0.922740022918746
46.6,5.755,81.0,39.5,,1.08,,,0.23744854159107584,-0.9714001184353804,-0.2000178011974663,0.9797922632906073
25.8,5.136,62.0,111.7,,1.07,,,-0.9425015837082782,0.3342016826818611,-0.3934926883058557,0.9193277458283475
38.0,5.9473,218.0,48.9,,,,,-0.9427928707797086,0.33337906773964626,-0.39418252515714763,0.9190321740073819
57.0,5.367800000000001,198.0,61.0,,1.46,,,-0.9999147838779052,-0.013054691968868931,0.23853345757858088,0.9711342799096361
46.0,5.2519,110.0,94.2,,,,,-0.9397403666467309,0.3418889341506504,-0.3930915184591163,0.919499351884223
39.4,5.136,36.0,94.0,,0.74,,,-0.940460288131904,0.33990358404532334,-0.3941023229694727,0.9190665694225122
43.8,5.4837,43.0,95.1,,0.81,,,-0.9400443157901974,0.34105231908101674,-0.3782770510836171,0.9256924287383378
24.8,5.367800000000001,39.0,93.4,,0.87,,,-0.9428161427317178,0.3333132475682374,-0.39175909830562833,0.9200678284206882
40.0,7.7,585.5400000000009,22.4,,1.11,,,-0.9390342578600211,0.3438235922174035,-0.3786001556459448,0.9255603287440891
105.9,5.3,134.0,39.9,,0.95,,8.9,0.7982361955912417,-0.6023445658823701,0.025915237738105296,0.9996641438268042
85.1,5.3,161.0,26.3,,0.98,,11.3,0.5523444328780893,-0.8336159952091742,0.3095979040483585,0.950867571120639
44.9,5.136,75.0,60.3,,0.88,,10.7,0.6248066842768444,-0.780779486976301,-0.052789114546962466,0.9986056826322128
141.5,5.0,160.0,62.8,,0.96,,,0.2199994382477926,-0.9754999985497979,-0.24885893302864365,0.9685397418030119
,5.367800000000001,59.0,66.4,,0.81,,0.0,0.5617513211516465,-0.8273061423586674,0.18027880801568114,0.9836155505991379
143.2,5.136,48.0,79.3,,0.69,,9.6,0.5610580417302735,-0.8277764636722831,0.27483195446950826,0.961492275997301
110.1,5.136,41.0,94.4,,1.03,,7.2,0.946795402176668,0.321836086256842,0.5911829650468983,0.8065374770203538
30.7,5.2519,103.0,71.0,,0.99,,,0.8081955029958272,-0.5889142797872385,0.06644804859873607,0.9977898861170221
7.0,5.7,251.0,24.5,,0.77,,,0.5628626331742422,-0.8265504559167325,0.18136024060252665,0.9834167291278879
135.8,5.136,45.0,143.8,,1.09,,19.7,0.21884153687509608,-0.9757604120572559,-0.2572845879813933,0.9663356770746099
31.7,5.1,174.0,86.3,,0.8,,,0.7613572886263866,-0.6483325374030499,0.49134465165094876,0.8709652308180894
25.0,5.5,138.0,42.3,,0.96,,,0.08120791331920628,-0.9966971831074573,-0.3673130295669129,0.930097381089946
35.0,5.5,167.0,76.0,,0.81,,,0.9863632688759665,-0.16458281141212117,-0.00963406843333262,0.9999535912858265
15.0,5.9,274.0,31.6,,0.7,,,0.9831561647431033,-0.1827674908938458,-0.05716326224183579,0.9983648438571298
24.3,5.136,148.0,73.1,,0.94,,9.5,0.9954279272914405,-0.09551566137690064,0.4907060688374822,0.8713251712225834
45.0,5.7,117.0,45.6,,1.16,,,0.23719422150043332,-0.9714622490281356,-0.20017170413803256,0.9797608324802926
35.0,5.2519,54.0,181.9,,0.76,,,0.9805872897449192,-0.19608306196791717,-0.0773628806590056,0.997003001347609
34.2,5.4837,119.0,31.4,,1.04,,,0.9518408588762104,-0.3065925298727907,-0.14893131867901585,0.9888475425041665
,6.6,73.0,49.3,,1.33,,,0.32031539988395696,-0.9473109545430057,-0.7856085848242702,0.6187238086985237
14.5,5.2,74.0,115.0,,1.02,,17.8,0.8563752483069188,-0.5163539813802767,0.31894276757018947,0.9477739767553591
,5.136,42.0,136.0,,0.92,,,0.423804253448485,-0.9057538047168073,0.7438567946370446,0.6683390375193579
35.0,5.2,74.0,96.7,,1.13,,,0.13581932256121063,-0.9907336229375754,-0.38965445027464585,0.9209611334802157
35.0,5.1,65.0,50.5,,0.92,,,0.9678849122526186,-0.25139370842115505,-0.11344598578940507,0.9935441652529947
9.0,5.2,378.0,25.8,,1.03,,5.8,0.4340364887917423,0.900895291583509,0.6256920482517868,0.7800701639945496
22.8,5.136,307.0,105.5,,,,,-0.015340842338632662,-0.9998823223541564,0.7785499362260038,0.6275826613303506
45.2,5.0,35.0,66.9,,0.76,,16.3,0.569623852368585,-0.8219055096620124,-0.0634524220635231,0.9979848646819612
47.9,5.136,62.0,96.3,,0.69,,8.5,0.798898025355546,-0.6014664953952209,0.04578143195109134,0.9989514805477329
28.1,5.3,202.0,45.9,,0.9,,,0.5953277474663712,-0.8034829637874201,0.21123950002324865,0.9774343321317949
90.3,5.4,140.0,49.9,,0.73,,,-0.4684079089688723,0.883512326351709,-0.8288227967847855,0.5595111898164737
223.8,5.1,92.0,32.6,,1.12,,,-0.08560820612697216,-0.9963288789570047,-0.31089208681043246,0.9504452169160801
74.5,5.136,111.0,46.6,,0.78,,,-0.9367577330916816,0.3499784986151773,-0.4096842273084465,0.9122274025124882
31.6,5.2519,70.0,63.6,,0.81,,,0.9825414332472028,-0.18604389791802534,-0.06357434844208269,0.9979771050581093
48.9,5.0,87.0,57.2,,1.22,,,-0.01055904575398555,-0.9999442517224474,-0.5555557210526199,0.831479308705697
28.7,5.5,172.0,74.8,,0.79,,,0.9991315786019865,-0.041666397016088874,0.37703266854230555,0.9261999605116964
71.6,5.3,96.0,51.0,,0.84,,7.8,0.822670286722078,-0.568518776598112,0.16885064743045802,0.9856416482993782
5.2,5.1,24.0,101.0,,1.31,,27.4,0.3182479273299602,-0.9480075193531876,-0.7857921292908518,0.6184906867080128
35.0,5.367800000000001,66.0,84.9,,0.91,,,0.859691837379478,-0.5108130232708414,-0.017382603857613938,0.999848911127641
94.7,5.367800000000001,34.0,117.0,,0.8,,25.7,0.7573940663210847,-0.6529580601398625,-0.09966708360440281,0.9950208402067733
151.1,5.0,144.0,40.5,,1.03,,12.4,0.21415572039589695,-0.9767995328734113,-0.2689030102162851,0.9631672601872535
,5.1,90.0,85.6,,1.43,,0.0,0.9439393143247712,0.33011902531069126,0.361315379923902,0.9324436691996179
29.9,5.4,300.0,71.1,,0.89,,,-0.9851273251265539,-0.1718259389294904,0.2941737762462429,0.9557519497071536
131.3,5.5,273.0,55.6,,1.07,,,0.9576417518510005,0.2879622807100727,0.6177909941277308,0.7863423475654037
25.2,5.136,66.0,67.3,,1.07,,12.9,0.9813195355643413,-0.19238495034639658,-0.06517672054074591,0.9978737370527162
,5.2,,,,,,,0.14780941112961082,-0.9890158633619168,-0.8949343616020251,0.4461978131098087
35.0,5.4,186.0,37.3,,0.93,,,0.8044896835009947,-0.5939666229178785,0.03385291813124979,0.9994268257026119
,5.1,4.0,176.1,,0.1,,,-0.8131210804766157,-0.5820945872317841,-0.8232453715367691,0.5676857037510166
142.3,5.2,140.0,68.5,,1.31,,14.2,0.2112395000232484,-0.977434332131795,-0.27630837585403367,0.9610690305242938
,5.7,82.0,65.2,,1.14,,,0.932330112612915,-0.3616082979069885,-0.9207365558857827,0.3901848211496532
,5.6,18.0,162.1,,1.25,,,0.319571284883268,-0.9475622374694219,-0.7860942870158899,0.6181066023923218
10.2,5.2,76.0,98.0,,1.17,,23.8,0.15431378133659118,-0.988021890895947,-0.38224802191787455,0.9240597652424177
35.0,5.2,110.0,73.9,,1.46,,,0.21649073238078367,-0.9762846730299682,-0.2737242127827443,0.9618082217035093
62.7,5.2,45.0,70.3,,1.08,,24.0,-0.49149665627605177,0.870879461733632,-0.8219850361437923,0.5695090871581319
85.5,5.136,43.0,134.9,,0.88,,5.9,0.5417375512623329,-0.8405476937998766,0.700049805006644,0.7140940207774881
174.7,5.136,33.0,143.4,,0.84,,10.9,0.9447316852183365,0.32784454081854386,0.5942333691363919,0.8042926724798708
,5.4,21.0,87.0,,0.72,,,-0.7788018013171312,-0.6272700807986874,-0.820371503653351,0.571830915562931
,5.3,26.0,90.0,,1.13,,,-0.7777716484160809,-0.6285469456771963,-0.8211591698394772,0.5706992358401582
,6.1,144.0,72.7,,1.42,,,-0.777519270841555,-0.6288591125761132,-0.8237899313116828,0.5668951834947029
135.1,5.2519,32.0,109.1,,1.08,,14.7,-0.0725593297826701,-0.9973640978406481,-0.3444463076576972,0.9388060189096462
,5.6,19.0,100.7,,1.5,,,-0.7747900316794725,-0.6322186384551803,-0.8208702078277836,0.5711147887253238
,5.8,271.0,41.3,,1.38,,,-0.12072593171357605,-0.9926858765046922,-0.26880214610241765,0.9631954143634274
,5.2,12.0,81.1,,1.34,,,-0.12578342801493714,-0.9920577247503348,-0.26405822683176833,0.9645067406931184
,5.7,234.0,51.2,,1.1,,,-0.11901051428881398,-0.9928929939770509,-0.2651522548628556,0.9642065555373202
82.0,5.2519,56.0,124.4,,0.83,,10.3,0.22930232170308074,-0.9733552513145326,-0.23366598158164648,0.9723169282962658
35.0,5.599600000000001,53.0,65.5,,1.11,,,0.4270580347682533,-0.9042242171828165,-0.11389683013409377,0.9934925828034175
35.0,5.6,161.0,29.3,,0.88,,,0.4263477270863642,-0.9045593488590403,-0.11483312411008707,0.9933847963438525
,5.136,14.0,78.0,,1.23,,,-0.9115612196157609,-0.4111643745421369,-0.767333056643895,0.6412487662222338
35.0,5.5,120.0,52.3,,1.0,,,0.44372823060046374,-0.8961614014050046,-0.08689493660176799,0.9962174812725255
42.3,5.136,37.0,68.0,,1.15,,,-0.03006749072857316,-0.9995478707902324,-0.5471688468165385,0.8370222536309649
59.7,5.2,100.0,55.7,,0.95,,16.4,-0.031061863564087362,-0.9995174638954168,-0.5454145927144364,0.8381664047515538
507.5,5.136,25.0,131.5,,0.94,,28.0,-0.0008901178009753722,-0.9999996038450717,-0.4116575164195819,0.9113386248674318
48.0,5.3,233.0,32.9,,0.89,,,0.9806727537731835,-0.19565518139553847,-0.0521790912374178,0.9986377433472245
28.0,6.0,552.0,30.3,,0.86,,,-0.02827056677027339,-0.9996003076502565,0.7817164314048802,0.623634044028723
146.4,5.4837,59.0,112.0,,0.65,,13.6,0.8588168740983388,-0.51228271175588,0.237533311338936,0.9713793934423152
28.8,5.2519,184.0,33.1,,0.9,,9.1,0.9995706662269194,-0.029299884277459772,0.7644040188571857,0.6447375403642814
207.0,7.2,461.0,19.4,,1.09,,,0.5680161298755199,-0.8230174215660544,0.32391741819814934,0.9460853588275453
9.741,5.45,156.0,50.0,0.02703,0.11,0.11,0.28,-0.8501286672593248,-0.5265750175462982,0.6078402184292845,0.7940593610428881
33.6,5.3,65.0,76.7,,1.28,,,0.16392859436958254,-0.9864722073875234,-0.3796660731860818,0.9251235986999039
35.0,5.1,34.0,128.0,,1.23,,,-0.09940658434502803,-0.9950468988891201,-0.2654046744592992,0.964137105797279
371.3,5.2,173.0,30.5,,0.76,,,0.4359223661505823,-0.8999842724679569,-0.08331260401131088,0.9965234618476649
5.0,5.3,414.0,44.0,,,,,0.4883623452164294,0.8726409455066322,0.6022749043397924,0.7982887570312475
,5.1,56.0,94.6,,0.98,,,-0.9602206130682693,-0.2792425007745007,-0.08164279676225097,0.996661654593392
,5.0,31.0,75.1,,1.38,,,-0.07001763300827357,-0.9975457538719308,-0.5217840752909698,0.8530775924690248
25.3,5.0,65.0,68.2,,1.02,,15.4,0.2372959514885109,-0.9714374047807518,-0.19964157324035584,0.9798689923832244
,5.2,10.0,173.6,,1.37,,,-0.594920991954387,-0.8037841833054493,-0.8412844127900733,0.5405927642842268
